	"Y" 			"X0" 	"X1" 			"X2" 			"X3" 			"X4"
"37" 	-1.92242949138813 	1 	2.14802184779271 	NA 			2.76547487134053 	NA
"38" 	NA 			1 	1.98119286019787e-05 	NA 			1.99856307899267 	0.202343824234745
"39" 	NA 			1 	NA 			0.230986164722741 	1.50313093287989 	0.459024026119754
"40" 	5.63401537151067 	1 	0.271859524610868 	2.20643797271808 	1.2715664039813 	2.34636926943418
"41" 	NA 			1 	NA 			1.12266815781818 	0.0874399235855755 	NA
"42" 	-10.3139245307778 	1 	2.65161019761448 	NA 			0.057777534678924 	NA
"43" 	-12.4390474157789 	1 	2.7315433798998 	NA 			0.443405932246338 	NA
"44" 	-6.72447878093156 	1 	NA 			2.25710961517741 	NA 			0.615327037251924
"45" 	2.88669631640779 	1 	NA 			0.45249148943131 	2.09365739839686 	0.0108149578403359
"46" 	NA 			1 	1.36351023991077 	1.47650261991322 	NA 			NA
"47" 	NA 			1 	NA 			1.63882765800122 	1.16691850761713 	2.10039528376465
"48" 	2.8840502721922 	1 	0.942107913543138 	2.66213389393424 	NA 			2.96986816408568
"49" 	-8.9980513155299 	1 	2.52031816558998 	0.78909722468544 	NA 			0.065877841547165
"50" 	7.60029730968481 	1 	0.081585962822807 	2.29394731821302 	1.90001008355374 	1.37096305292837
"51" 	-4.12827469503501 	1 	NA 			NA 			0.317801803807878 	0.438576464955874
"52" 	NA 			1 	NA 			0.000705349544285498 	NA 			0.103092797215353
"53" 	-0.420696197867554 	1 	NA 			0.1162515906726 	0.0127373337955785 	0.660021049663546
"54" 	-2.63256646515676 	1 	2.1843899373381 	NA 			1.29754544423038 	NA
"55" 	1.97920006413135 	1 	NA 			0.862078564920798 	0.229913349251848 	1.96372189442751
"56" 	3.98721102934114 	1 	NA 			2.3583688524562 	0.300004745843895 	1.35703512154805
"57" 	2.50106368866453 	1 	0.0941207900296348 	0.206663830577996 	1.55618143580742 	NA
"58" 	NA 			1 	2.11523645863268 	NA 			NA 			0.191090133855485
"59" 	0.135313108191159 	1 	NA 			0.102819995835445 	0.690645421019534 	0.439669872164446
"60" 	NA 			1 	1.03392135309231 	NA 			2.3319879697321 	2.64930815761986
"61" 	0.609223363174398 	1 	NA 			0.000683772794804842 	1.74674393722337 	0.0469884813375749
"62" 	0.122981971484148 	1 	0.427507480234418 	0.139036693392864 	0.773650260337 		NA
"63" 	1.00384940326958 	1 	0.467243005401915 	NA 			0.103353331475766 	2.30745537077256
"64" 	-6.57497778472255 	1 	2.44104912121806 	NA 			NA 			0.489784279624253
"65" 	NA 			1 	0.345776096897405 	1.46160593237399 	NA 			1.64087897830547
"66" 	6.22569919782628 	1 	0.273572457173723 	2.93280116306205 	0.0928033428724645 	0.910303611510764
"67" 	0.701316600992448 	1 	1.3168474556477 	NA 			0.793071810867309 	2.10697736833213
"68" 	4.45656104258704 	1 	0.307055994451268 	1.02662820712878 	NA 			0.584673081940798
"69" 	NA 			1 	NA 			0.0293051408899609 	0.00919871655031838 	NA
"70" 	NA 			1 	1.82883274319273 	NA 			2.35533076370952 	NA
"71" 	1.42666960514037 	1 	0.164102449780496 	NA 			0.479809427628699 	0.36032674159903
"72" 	NA 			1 	0.407338157949261 	NA 			0.00463285486416327 	0.304031172158221
"73" 	-0.764700599504722 	1 	1.62980531389991 	2.98107261752077 	0.000214974018245272 	NA
"74" 	3.92022877086736 	1 	NA 			1.67533178162985 	0.0304026916724871 	0.211791143073379
"75" 	-1.11570742016256 	1 	1.04458776290471 	1.12815940302442 	NA 			NA
"76" 	NA 			1 	NA 			1.2138704004477 	0.464383393137185 	1.97529971169585
"77" 	-5.86490140695234 	1 	2.04921235947596 	0.841072422556414 	NA 			1.31759785352555
"78" 	NA 			1 	NA 			1.63627466329432 	0.0609707865756156 	0.696299052860007
"79" 	-7.18000841688959 	1 	1.69592940762273 	0.0742608385299143 	NA 			NA
"80" 	-7.28451691127608 	1 	1.95789739246138 	NA 			0.132515803874066 	NA
"81" 	NA 			1 	0.266149034087741 	0.0534507374150106 	NA 			0.539584229759182
"82" 	-3.14411865380286 	1 	1.08821108479519 	0.193140392452111 	NA 			0.898300510008185
"83" 	-6.18982339817923 	1 	2.99065656088925 	2.98744470957873 	0.994127005519385 	NA
"84" 	-3.29983512805628 	1 	NA 			0.436799214819164 	NA 			0.0912553991349682
"85" 	NA 			1 	0.0116471500754166 	0.038886867655665 	NA 			1.73882033700494
"86" 	-8.10608049622349 	1 	NA 			0.392577898202666 	0.0213749717305589 	NA
"87" 	NA 			1 	0.930605731547451 	NA 			1.44953685036391 	NA
"88" 	-4.03601391711022 	1 	NA 			2.05621285333773 	NA 			0.0308452363531293
"89" 	3.50079011270881 	1 	NA 			1.67408354182112 	0.123605711110422 	0.081999056758266
"90" 	3.2202820300528 	1 	NA 			0.147053414412139 	2.05426043436195 	2.44682295487052
"91" 	0.884302638090797 	1 	0.104659670218871 	NA 			0.154638124426064 	1.70894109470461
"92" 	1.96585468510457 	1 	0.13902425133328 	0.364212800741232 	0.602503353855422 	NA
"93" 	-8.03051266833493 	1 	NA 			NA 			2.14494719864991 	0.332387389881857
"94" 	2.05856790609678 	1 	NA 			0.377582293185054 	0.0724585851230713 	0.624284081360272
"95" 	3.1201214766242 	1 	0.0994916433508739 	0.272902622906596 	NA 			2.75045215840696
"96" 	5.41800160789805 	1 	0.00159182461122026 	1.1075439537366 	NA 			2.04802853352393
"97" 	3.8379836682734 	1 	NA 			0.170464913783546 	2.16086645989807 	0.260879956510191
"98" 	-9.28431705217822 	1 	NA 			NA 			0.0434667415177998 	0.0979953893057591
"99" 	7.04569077716076 	1 	0.312776273056415 	2.07428784775262 	2.02007871473137 	1.4650514712408
"100"	NA 			1 	NA 			0.0496841265034421 	0.304014770097146 	NA
